ID,Country,Total_cases,Total_deaths,Total_recovered,Active_cases,Serious,Total_Cases_Per_1M,Deaths,Total_tests,Tests_per_1M,Population
212,Saint Pierre Miquelon,26,,25,1,,"4,509",,"6,128","1,062,782",803
213,Montserrat,20,1,19,0,,"4,004",200,"1,408","281,882","5,766"
214,Solomon Islands,20,,20,0,,28,,"4,500","6,399","4,995"
215,Western Sahara,10,1,8,1,,16,2,,,"703,288"
216,MS Zaandam,9,2,7,0,,,,,,"611,641"
217,Vanuatu,4,1,3,0,,13,3,"23,000","73,216",
218,Marshall Islands,4,,4,0,,67,,,,"314,137"
219,Samoa,3,,3,0,,15,,,,"59,581"
220,Saint Helena,2,,2,0,,328,,,,"199,704"
221,Micronesia,1,,1,0,,9,,,,"6,095"
222,,,,,,,,,,,"116,202"
